gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
47346,Buenos Aires,ESCUELA PRIMARIA Nº23 FORTIN DIAZ,Estatal,ZONA RURAL S/N  EL DIA,EL DIA,GENERAL VILLEGAS,GPS,"-62,83493797","-34,75350613"
47348,Tucumán,ESC. GARCILAZO DE LA VEGA,Estatal,LOS PORCELES,LOS PORCELES,CRUZ ALTA,GPS,"-65,2018683","-26,9332049"
47349,Tucumán,ESC. N° 2 PROV. DE SAN LUIS,Estatal,AV.SOLANO PEA 350  SOBRE RUTA 302,RANCHILLOS - INCLUYE INGENIO SAN JUAN Y VILLANUEVA,CRUZ ALTA,GPS,"-65,0493673","-26,9541771"
47353,Santa Fe,ESCUELA NRO 6202 CLODOMIRO LEDESMA,Estatal,BELGRANO 226  JUNCAL,JUNCAL,CONSTITUCION,GPS,"-61,0500283","-33,7158868"
47354,Tucumán,ESC. N° 333 - MARIA ELENA GARCIA FERNANDEZ DE ECHAYDE,Estatal,AUTOPISTA 38 Y CAMINO VECINAL A BELLA  COLONIA MARIA ELENA Sobre autopista 700 m al sur del Rio Colorado,POTRERO GRANDE,LULES,GPS,"-65,3469084","-27,0073463"
47358,Tucumán,ESC. N° 52 OBISPO BERNABE PIEDRABUENA,Estatal,SAN JOSE DE BUENA VISTA,SAN JOSE DE BUENA VISTA,LEALES,GPS,"-65,3867174","-27,1082371"
47359,Tucumán,ESC. N° 19 DR. JAVIER F. FRIAS,Estatal,RUTA 365 - KM. 11,EL MOLINO,CHICLIGASTA,GPS,"-65,6892568","-27,33829"
47360,Santa Fe,C.E.R. NRO 111 SIMÓN DE IRIONDO,Estatal,COLONIZADORA DE CORDOBA,LA PELADA,LAS COLONIAS,GPS,"-61,0291876","-30,7870653"
47361,Santa Fe,ESCUELA NRO 106 SARGENTO DOMINGO POUSTEAU,Estatal,RUTA PROVINCIAL NRO 1,COLONIA TERESA,SAN JAVIER,GPS,"-59,9707229","-30,2584345"
47362,Santa Fe,ESCUELA NRO 280 GENERAL JOSE DE SAN MARTIN,Estatal,COLONIA LANDETA,COLONIALANDETA,SAN MARTIN,GPS,"-62,0529839","-31,9797785"
47365,Santa Fe,ESCUELA NRO 931 GRANADEROS DE SAN LORENZO,Estatal,RUTA PROVINCIAL NRO 294 S   CAMINO VECINAL,GREGORIA PEREZ DE DENIS,9 DE JULIO,GPS,"-61,7213244","-28,2276488"
47367,Santa Fe,C.E.R. NRO 220 GENERAL MANUEL BELGRANO,Estatal,COLONIA ANGELONI - ZONA RURAL,ANGELONI,SAN JUSTO,GPS,"-60,7421215","-30,9255515"
47368,Santa Fe,ESCUELA NRO 6323 PABLO PIZZURNO,Estatal,COLONIA EL INCA,COLONIA EL INCA,9 DE JULIO,GPS,"-61,8810721","-29,0968571"
47369,Santa Fe,ESCUELA NRO 6014 PROVINCIA DE ENTRE RIOS,Estatal,RIOS 950,PAVON ARRIBA,CONSTITUCION,GPS,"-60,8249248","-33,3132705"
47371,Santa Fe,ESCUELA NRO 6338 MANUEL OCAMPO SAMANES,Estatal,CAMPO MEJIAS ISLETA NORTE,VILLA OCAMPO,GENERAL OBLIGADO,GPS,"-59,3087569","-28,4569264"
47372,Santa Fe,C.E.R. NRO 426 PRESBITERO JUAN A. BAUZA,Estatal,PARAJE LA ESPERANZA,LA ESPERANZA,SAN CRISTOBAL,GPS,"-61,8755897","-30,0551772"
47373,Santa Fe,ESCUELA NRO 6057 JUAN GREGORIO DE LAS HERAS,Estatal,REPUBLICA DEL PARAGUAY 416,CORONEL BOGADO,ROSARIO,GPS,"-60,605532","-33,3157865"
47374,Santa Fe,ESCUELA NRO 6148 JUAN JOSE PASO,Estatal,ZONA RURAL   SANTA ANA,SANTA ANA,GENERAL OBLIGADO,GPS,"-59,6575308","-28,9777718"
